stop_name,stop_lat,stop_lon
Schulweg,53.7517716,9.9326923
"Pinneberg, Mittelkamp",53.6501465,9.777028399999999
"Quickborn, Elsenseestraße",53.725807599999996,9.923969
Weistritzstraße,53.606739999999995,9.871419999999999
"Lütjensee, Up de Höh",53.6477759,10.3626977
"Kayhude, Naherfurth",53.7673773,10.1254565
Steinwerder (Fähre),53.5404017,9.966526199999999
"Tangstedt (OD), Rathaus",53.733295999999996,10.085424999999999
Zedernweg,53.5464415,9.8811241
"Eichede, Kirche",53.717847000000006,10.4076065
"Lutzhorn, Schule",53.8254308,9.7761859
Neumühlen/Övelgönne (Fähre),53.544375200000005,9.915054099999999
"Ulzburg-Süd, Birkenhof",53.7791159,9.9781033
"Sülfeld, Schule",53.8009444,10.2348509
Lohkoppelweg,53.5920321,9.9545535
"Wilstedt, Weg am Sportplatz",53.7497,10.06429
Denickestraße,53.45877,9.95655
"Hoffnung, Kieler Straße",53.7824645,9.8748735
"Witzhave, Am Roggenhof",53.566847499999994,10.3323887
"Ahrensburg, Ahrensburger Redder",53.648850599999996,10.253720500000002
Hammoor Hoppenbrook,53.7082123,10.3177921
Baron-Voght-Straße (Mitte),53.557434799999996,9.865054599999999
"Rhen, Tannenweg",53.7509983,10.0048009
Bad Bramstedt Pommernweg,53.9034067,9.869620699999999
Grüningweg,53.559915999999994,10.100909699999999
"Uetersen, Heidweg",53.692880599999995,9.6552227
Rahmwerder Straße,53.5115907,10.0211183
Todesfelde Friedrichshöh,53.8918441,10.1715903
"Bilsen, Lehmkuhlenweg",53.7704057,9.8742535
"Heidmoor, Heideweg",53.824070899999995,9.860853299999999
"Bad Oldesloe, Lindenkamp",53.801401999999996,10.356375
Ratsmühlendamm,53.6280663,10.0134224
Hamburg Gottschalkring,53.4497606,9.9661374
"Aumühle, Sachsenwaldstraße",53.5256565,10.3145645
"Groß Niendorf, Feuerwehr",53.845194,10.2411981
Rudolf-Diesel-Straße,53.826812,9.978603
Siloahweg,53.6352267,9.901460799999999
"Ellerbek, Moordamm",53.63805,9.89551
"Tornesch, Baumschulenweg",53.701822799999995,9.7249689
"Stemwarde, Stübkamp",53.56975,10.238059999999999
"Bargfeld-Stegen, Rathkrügen",53.7657868,10.1893833
"Sprenge, Zum Buchenwald",53.6912435,10.370975
"Garstedt, Buschweg",53.693196099999994,9.9810974
"Wohltorf, Waldkamp",53.5135283,10.305665099999999
S Rothenburgsort,53.5386507,10.0424335
Dorothea-Schlözer-Str.,53.803492,10.352013999999999
Teufelsbrück (Fähre),53.5475418,9.8641834
S Wellingsbüttel,53.6408853,10.0828305
Tangstedt(Kr Stormarn) Hauptstraße,53.73441690000001,10.0837291
"Trittau, Fehrsweg",53.602061,10.404339499999999
Brehmweg,53.58609,9.94761
"Ellerbek, Königsberger Straße",53.6481715,9.8986701
"Glinde, Gerhart-Hauptmann-Weg",53.54434,10.2045
