stop_name,stop_lat,stop_lon
"Langelohe, Kindergarten",53.600601399999995,10.2746781
"Egenbüttel, Kellerstraße",53.6464011,9.8720022
Hammoor Alte Dorfstraße,53.7140783,10.3122045
"Barsbüttel, Willinghusen (Kehre)",53.563764799999994,10.2111591
Bad Oldesloe Meddelskamp,53.8034167,10.3620685
Grindelhof,53.5673776,9.9807024
"Glashütte, Friedhof",53.682884699999995,10.0462697
"Glinde, Gerhart-Hauptmann-Weg",53.5436853,10.2046114
Trettaustraße,53.493649999999995,9.989519999999999
"Langeln, Hohenufer",53.7938766,9.8464098
"Renzel, Krehlohweg",53.717884,9.8561824
Kaltenkirchen An der Krückau,53.8271425,9.958130100000002
"Uetersen, Klaus-Groth-Straße",53.6897908,9.6648021
Schmalfeld Schmalfelder Au,53.88214,9.982009999999999
"Barmstedt, Markt",53.7890595,9.7694495
"Wedel, Ernst-Barlach-Schule",53.575886499999996,9.712660399999999
"Ahrensburg, Ahrensburger Redder",53.648850599999996,10.253720500000002
Kisdorf An de Loh,53.8105392,10.0200707
"Wedel, Grenzweg",53.570610599999995,9.7328192
"Bargteheide, Zu den Fischteichen",53.72061660000001,10.2580672
Spaldingstraße,53.547768,10.0129707
"Delingsdorf, Dorfstraße",53.70809,10.25187
"Klein Nordende, Voßbarg",53.720847199999994,9.660571599999999
"Hittfeld, Schwarzer Weg",53.394472799999996,9.982727599999999
"Lasbek-Dorf, Schulstraße",53.733571999999995,10.366137799999999
Bundesstraße,53.568887,9.973250000000002
"Glinde, Olande",53.544979999999995,10.225259999999999
Lentföhrden Otterbraack,53.869019599999994,9.8907373
Schulweg,53.5748378,9.9583303
"Hoisdorf, Am Eichenhain",53.659827,10.308739
Wulmstorf(Niederelbe) Hellbergweg,53.443380499999996,9.8053505
Schule,53.471004099999995,10.310731599999999
"Ramelsloh, Hinter den Höfen",53.3441676,10.0277868
Königsberger Straße,53.3618889,10.1232848
Kattendorf Weeden,53.839627699999994,10.0425937
Ammersbek Schäferdresch,53.70818440000001,10.21134
"Pinneberg, Hunnenbarg",53.6316577,9.796166699999999
"Pinneberg, Beim Ratsberg",53.675335499999996,9.793581699999999
"Neu Wulmstorf, Ernst-Moritz-Arndt-Straße",53.465448599999995,9.783511299999999
"Schmalenbeck, Papenwisch",53.6462685,10.2787385
Oetjendorf Eichenweg,53.678378200000004,10.338244999999999
"Rellingen, Theodor-Storm-Straße",53.660700000000006,9.8311
Rahewinkel,53.5228135,10.155299000000001
Grasweg 5,53.3898795,10.098198
"Pinneberg, Mühlenstraße",53.6595106,9.7865888
"Tangstedt (PI), Denkmal",53.676235,9.843483100000002
"Quickborn, Rotdornweg (Nord)",53.733259999999994,9.916810000000002
"Barsbüttel, Hanskampring",53.5782365,10.1918999
"Travenbrück, Sühlen",53.860764599999996,10.326065
Tremsbüttel Fischbeker Weg,53.7494394,10.3086074
"Rade (OD), Schule",53.733184,10.125731
Krabbenkamp,53.52485550000001,10.297409
"Glashütte, Robert-Koch-Straße (Nord)",53.6879485,10.051305099999999
U Feldstraße,53.557341,9.969249
Thesdorf,53.644230199999996,9.8140635
"Stegelkamp, Am Endern",53.78971,10.06406
Aurubis Werk Ost,53.5152949,10.0344439
"Tangstedt (OD), Herrendamm",53.730130599999995,10.079752100000002
Rotenhäuser Straße,53.504504,9.992045
